I,MaxRenmark,Max66,Max82A,Max82B,Max87,MinRenmark,Min66,Min82A,Min82B,Min87,Depth,66Day,66Night,82ADay,82ANight,82BDay,82BNight,87Day,87Night,,Max_Renmark,Max66,Buff66,Max82A,Buff82A,Max82B,Buff82B,Max87,Buff87,Min66,BuffMin66,,Max_Renmark,Max66,,MinR,M66,M82A,M82B,M87
5,32.4,31.1,32.1,31.1,31.6,10.1,13.6,12.1,12.6,13.6,10,1.7,-0.8,3.7,-3.3,3.4,-3,2.4,-1,,32.4,31.1,-1.3,32.1,-0.3,31.1,-1.3,31.6,-0.8,13.6,-18.8,,32.4,31.1,,10.1,13.6,12.1,12.6,13.6
6,25,25.1,22.6,23.1,24.6,9.6,13.6,13.1,13.1,13.6,20,1.4,-0.4,3.9,-2.9,3.7,-2.9,2.7,-2,,25,25.1,0.1,22.6,-2.4,23.1,-1.9,24.6,-0.4,13.6,-11.4,,25,25.1,,9.6,13.6,13.1,13.1,13.6
7,24.8,25.6,24.6,24.6,26.1,4.5,6.1,4.1,4.1,5.1,30,2.9,-1.4,4.1,-3.1,4,-2.9,3.3,-1.9,,24.8,25.6,0.8,24.6,-0.2,24.6,-0.2,26.1,1.3,6.1,-18.7,,24.8,25.6,,4.5,6.1,4.1,4.1,5.1
8,26.9,30.6,32.1,28.6,28.6,6,6.6,4.6,5.1,5.1,40,3,-2,4.4,-3.1,4.3,-2.8,3.1,-1.9,,26.9,30.6,3.7,32.1,5.2,28.6,1.7,28.6,1.7,6.6,-20.3,,26.9,30.6,,6,6.6,4.6,5.1,5.1
9,36.2,35.6,35.1,35.1,35.6,13.7,12.6,12.1,11.6,12.6,,,,,,,,,,,36.2,35.6,-0.6,35.1,-1.1,35.1,-1.1,35.6,-0.6,12.6,-23.6,,36.2,35.6,,13.7,12.6,12.1,11.6,12.6
10,22.9,21.6,19.1,19.6,20.1,16.1,16.6,15.1,15.1,15.6,,,,,,,,,,,22.9,21.6,-1.3,19.1,-3.8,19.6,-3.3,20.1,-2.8,16.6,-6.3,,22.9,21.6,,16.1,16.6,15.1,15.1,15.6
11,23.6,25.6,24.1,24.6,24.1,4.6,6.1,4.1,3.6,4.6,,,,,,,,,,,23.6,25.6,2,24.1,0.5,24.6,1,24.1,0.5,6.1,-17.5,,23.6,25.6,,4.6,6.1,4.1,3.6,4.6
12,30.6,30.6,30.6,30.1,30.1,3.7,7.6,4.6,4.6,4.6,,,,,,,,,,,30.6,30.6,0,30.6,0,30.1,-0.5,30.1,-0.5,7.6,-23,,30.6,30.6,,3.7,7.6,4.6,4.6,4.6
13,20.7,20.6,18.1,18.1,19.1,9.5,13.1,13.1,13.1,13.6,,,,,,,,,,,20.7,20.6,-0.1,18.1,-2.6,18.1,-2.6,19.1,-1.6,13.1,-7.6,,20.7,20.6,,9.5,13.1,13.1,13.1,13.6
14,20,21.1,18.6,19.1,20.1,5.6,5.6,3.1,3.6,4.1,,,,,,,,,,,20,21.1,1.1,18.6,-1.4,19.1,-0.9,20.1,0.1,5.6,-14.4,,20,21.1,,5.6,5.6,3.1,3.6,4.1
15,25.9,28.1,27.1,27.1,26.6,0.1,3.6,0.5,0.6,0.5,,,,,,,,,,,25.9,28.1,2.2,27.1,1.2,27.1,1.2,26.6,0.7,3.6,-22.3,,25.9,28.1,,0.1,3.6,0.5,0.6,0.5
16,32.7,31.1,32.6,31.6,32.6,13.3,12.6,13.1,13.1,13.1,,,,,,,,,,,32.7,31.1,-1.6,32.6,-0.1,31.6,-1.1,32.6,-0.1,12.6,-20.1,,32.7,31.1,,13.3,12.6,13.1,13.1,13.1
17,21,22.6,19.6,20.1,19.6,12.5,10.6,10.6,11.1,11.1,,,,,,,,,,,21,22.6,1.6,19.6,-1.4,20.1,-0.9,19.6,-1.4,10.6,-10.4,,21,22.6,,12.5,10.6,10.6,11.1,11.1
18,27.3,30.6,29.6,33.1,28.6,0.3,4.6,0.6,1,1,,,,,,,,,,,27.3,30.6,3.3,29.6,2.3,33.1,5.8,28.6,1.3,4.6,-22.7,,27.3,30.6,,0.3,4.6,0.6,1,1
19,32.6,33.6,32.6,36.6,32.6,4.7,11.1,9.6,9.1,10.6,,,,,,,,,,,32.6,33.6,1,32.6,0,36.6,4,32.6,0,11.1,-21.5,,32.6,33.6,,4.7,11.1,9.6,9.1,10.6
20,39.7,39.1,39.6,40.1,40.1,11,18.1,18.1,17.6,17.6,,,,,,,,,,,39.7,39.1,-0.6,39.6,-0.1,40.1,0.4,40.1,0.4,18.1,-21.6,,39.7,39.1,,11,18.1,18.1,17.6,17.6
21,31.5,28.6,33.6,31.1,30.1,18.4,17.6,17.1,16.6,17.1,,,,,,,,,,,31.5,28.6,-2.9,33.6,2.1,31.1,-0.4,30.1,-1.4,17.6,-13.9,,31.5,28.6,,18.4,17.6,17.1,16.6,17.1
22,26.5,23.6,28.6,24.6,25.1,19.5,17.1,16.1,16.1,16.6,,,,,,,,,,,26.5,23.6,-2.9,28.6,2.1,24.6,-1.9,25.1,-1.4,17.1,-9.4,,26.5,23.6,,19.5,17.1,16.1,16.1,16.6
23,21.8,21.6,21.1,20.1,21.1,10.9,11.6,11.1,11.1,11.6,,,,,,,,,,,21.8,21.6,-0.2,21.1,-0.7,20.1,-1.7,21.1,-0.7,11.6,-10.2,,21.8,21.6,,10.9,11.6,11.1,11.1,11.6
24,20.3,24.6,22.3,20.1,25.6,7.8,8.1,5.1,6.1,6.6,,,,,,,,,,,20.3,24.6,4.3,22.3,2,20.1,-0.2,25.6,5.3,8.1,-12.2,,20.3,24.6,,7.8,8.1,5.1,6.1,6.6
25,22.3,27.6,25.1,24.6,26.1,1.3,5.6,1.6,1.6,2.1,,,,,,,,,,,22.3,27.6,5.3,25.1,2.8,24.6,2.3,26.1,3.8,5.6,-16.7,,22.3,27.6,,1.3,5.6,1.6,1.6,2.1
26,24.5,29.1,27.6,27.6,26.1,2.8,7.1,2.6,3.1,3.1,,,,,,,,,,,24.5,29.1,4.6,27.6,3.1,27.6,3.1,26.1,1.6,7.1,-17.4,,24.5,29.1,,2.8,7.1,2.6,3.1,3.1
27,25.8,23.1,28.1,26.6,25.1,12.9,13.6,12.1,12.1,12.1,,,,,,,,,,,25.8,23.1,-2.7,28.1,2.3,26.6,0.8,25.1,-0.7,13.6,-12.2,,25.8,23.1,,12.9,13.6,12.1,12.1,12.1
28,25.3,23.6,23.6,23.6,24.6,15,14.1,13.6,13.6,14.6,,,,,,,,,,,25.3,23.6,-1.7,23.6,-1.7,23.6,-1.7,24.6,-0.7,14.1,-11.2,,25.3,23.6,,15,14.1,13.6,13.6,14.6
29,23.6,25.6,22.6,21.6,21.6,11.7,11.6,10.6,11.1,11.1,,,,,,,,,,,23.6,25.6,2,22.6,-1,21.6,-2,21.6,-2,11.6,-12,,23.6,25.6,,11.7,11.6,10.6,11.1,11.1
30,24.7,29.6,26.1,25.1,25.1,7.1,12.7,9.6,10.1,10.1,,,,,,,,,,,24.7,29.6,4.9,26.1,1.4,25.1,0.4,25.1,0.4,12.7,-12,,24.7,29.6,,7.1,12.7,9.6,10.1,10.1
31,26.1,31.1,31.6,31.6,27.1,5.7,8.1,3.1,4.1,3.6,,,,,,,,,,,26.1,31.1,5,31.6,5.5,31.6,5.5,27.1,1,8.1,-18,,26.1,31.1,,5.7,8.1,3.1,4.1,3.6